dataset,image_path,mse,ssim
Chilli_Leaves,unknown_5,0.08267788589000702,0.357321172952652
Chilli_Leaves,unknown_6,0.10759248584508896,0.32140788435935974
Chilli_Leaves,unknown_7,0.10115014016628265,0.3118170201778412
Chilli_Leaves,unknown_8,0.1349102258682251,0.2778076231479645
Chilli_Leaves,unknown_9,0.11030462384223938,0.24096281826496124
Chilli_Leaves,unknown_10,0.07430562376976013,0.3627089262008667
Chilli_Leaves,unknown_11,0.14617712795734406,0.238484725356102
Chilli_Leaves,unknown_12,0.09851491451263428,0.34061071276664734
Chilli_Leaves,unknown_13,0.1405673772096634,0.24806304275989532
Chilli_Leaves,unknown_14,0.08397869020700455,0.36417755484580994
Chilli_Leaves,unknown_15,0.08100266009569168,0.381481409072876
Chilli_Leaves,unknown_0,0.08709695935249329,0.34530267119407654
Chilli_Leaves,unknown_1,0.11325728893280029,0.3144489824771881
Chilli_Leaves,unknown_2,0.0744975283741951,0.3325781226158142
Chilli_Leaves,unknown_3,0.09459933638572693,0.28099164366722107
Chilli_Leaves,unknown_4,0.1354106068611145,0.25151243805885315
Chilli_Leaves,unknown_5,0.06608682125806808,0.3433671295642853
Chilli_Leaves,unknown_6,0.09990237653255463,0.30008646845817566
Chilli_Leaves,unknown_7,0.060537029057741165,0.4035986661911011
Chilli_Leaves,unknown_8,0.08933894336223602,0.32728758454322815
Chilli_Leaves,unknown_9,0.11206946521997452,0.32668331265449524
Chilli_Leaves,unknown_10,0.08710533380508423,0.3423006534576416
Chilli_Leaves,unknown_11,0.09577037394046783,0.3288835883140564
Chilli_Leaves,unknown_12,0.08170067518949509,0.3689330816268921
Chilli_Leaves,unknown_13,0.10257925093173981,0.33704936504364014
Chilli_Leaves,unknown_14,0.08553609251976013,0.34130027890205383
Chilli_Leaves,unknown_15,0.09761258959770203,0.34616991877555847
Chilli_Leaves,unknown_0,0.08792928606271744,0.3396792709827423
Chilli_Leaves,unknown_1,0.1121445745229721,0.29240113496780396
Chilli_Leaves,unknown_2,0.10114883631467819,0.2888920307159424
Chilli_Leaves,unknown_3,0.10164515674114227,0.31728169322013855
Chilli_Leaves,unknown_4,0.10796007513999939,0.27202078700065613
Chilli_Leaves,unknown_5,0.14051619172096252,0.2481869012117386
Chilli_Leaves,unknown_6,0.1303415447473526,0.2806783616542816
Chilli_Leaves,unknown_7,0.06357894837856293,0.3730432093143463
Chilli_Leaves,unknown_8,0.06458722800016403,0.38526058197021484
Chilli_Leaves,unknown_9,0.1039237454533577,0.2957207262516022
Chilli_Leaves,unknown_10,0.095732681453228,0.3240886330604553
Chilli_Leaves,unknown_11,0.10863740742206573,0.3292017877101898
Chilli_Leaves,unknown_12,0.11056430637836456,0.30135366320610046
Chilli_Leaves,unknown_13,0.14374122023582458,0.24573568999767303
Chilli_Leaves,unknown_14,0.12281184643507004,0.28140830993652344
Chilli_Leaves,unknown_15,0.08308596909046173,0.35424745082855225
Chilli_Leaves,unknown_0,0.07241601496934891,0.3800159990787506
Chilli_Leaves,unknown_1,0.07142933458089828,0.3737391233444214
Chilli_Leaves,unknown_2,0.14778275787830353,0.24238531291484833
Chilli_Leaves,unknown_3,0.09893535077571869,0.2964460253715515
Chilli_Leaves,unknown_4,0.12043213844299316,0.27307575941085815
Chilli_Leaves,unknown_5,0.10761497169733047,0.29830148816108704
Chilli_Leaves,unknown_6,0.06455916166305542,0.35802844166755676
Chilli_Leaves,unknown_7,0.1916963905096054,0.2613745629787445
Chilli_Leaves,unknown_8,0.03599870204925537,0.613264262676239
Chilli_Leaves,unknown_9,0.09828729182481766,0.3362695276737213
Chilli_Leaves,unknown_10,0.04733920469880104,0.7094849944114685
Chilli_Leaves,unknown_11,0.05766751989722252,0.5500537753105164
Chilli_Leaves,unknown_12,0.12675607204437256,0.3268933594226837
Chilli_Leaves,unknown_13,0.06911570578813553,0.634032666683197
Chilli_Leaves,unknown_14,0.16674695909023285,0.3157713711261749
Chilli_Leaves,unknown_15,0.12958276271820068,0.3031713366508484
Chilli_Leaves,unknown_0,0.07636476308107376,0.5898049473762512
Chilli_Leaves,unknown_1,0.16973209381103516,0.2990624010562897
Chilli_Leaves,unknown_2,0.04447254538536072,0.7248709201812744
Chilli_Leaves,unknown_3,0.04858392849564552,0.7223159670829773
Chilli_Leaves,unknown_4,0.1326398104429245,0.27132317423820496
Chilli_Leaves,unknown_5,0.1434030830860138,0.2879500687122345
Chilli_Leaves,unknown_6,0.11047855019569397,0.2867893874645233
Chilli_Leaves,unknown_7,0.03367933630943298,0.6037747263908386
Chilli_Leaves,unknown_8,0.09808370471000671,0.3526288568973541
Chilli_Leaves,unknown_9,0.16792558133602142,0.29006490111351013
Chilli_Leaves,unknown_10,0.03526828810572624,0.6183181405067444
